Country,Year,Population,GDP (Billion USD),Unemployment Rate (%),Internet Users (%),Continent,Rank
India,2012,863136854,2354,22,22,Asia,★
France,2012,869913367,18196,15,88,Europe,★★★★
UK,2012,871861569,6958,13,59,Europe,★★
USA,2012,872560037,15388,20,66,North America,★★★★
Canada,2012,877601446,12734,7,42,North America,★★★
UK,2012,881559612,16818,11,82,Europe,★★★★
China,2012,882908055,13976,17,85,Asia,★★★
China,2012,884421707,18958,20,45,Asia,★★★★
Canada,2012,888038047,12506,12,65,North America,★★★
Canada,2012,889366438,23726,4,86,North America,★★★★★
UK,2012,902085051,4664,4,74,Europe,★
UK,2012,907294926,5005,23,50,Europe,★★
India,2012,908271439,795,16,79,Asia,★
Russia,2012,909738360,2085,10,32,Europe/Asia,★
Australia,2012,912000928,6876,17,79,Oceania,★★
UK,2012,917417851,3251,9,56,Europe,★
USA,2012,919876953,14175,20,83,North America,★★★
Russia,2012,927163479,15885,16,92,Europe/Asia,★★★★
USA,2012,929977074,13917,18,32,North America,★★★
Canada,2012,930765780,7845,10,48,North America,★★
India,2012,934985065,19521,15,87,Asia,★★★★
USA,2012,935313697,7075,4,90,North America,★★
Germany,2012,936134062,1307,19,66,Europe,★
Australia,2012,936549475,7145,6,84,Oceania,★★
China,2012,936571747,22138,4,57,Asia,★★★★★
India,2012,937557489,20473,21,67,Asia,★★★★★
India,2012,943382981,13690,11,82,Asia,★★★
China,2012,944805820,3887,4,69,Asia,★
USA,2012,947268104,452,4,10,North America,★
Russia,2012,949898063,13723,2,27,Europe/Asia,★★★
USA,2012,956141353,1196,4,10,North America,★
Brazil,2012,963015755,21015,11,27,South America,★★★★★
Canada,2012,963891739,7223,15,30,North America,★★
India,2012,963956688,18892,9,79,Asia,★★★★
India,2012,966119880,10484,2,22,Asia,★★★
Canada,2012,966643407,11790,23,13,North America,★★★
Brazil,2012,969152761,9201,6,71,South America,★★
USA,2012,977475929,17564,17,51,North America,★★★★
China,2012,979223468,24822,9,16,Asia,★★★★★
Australia,2012,984048048,1594,12,11,Oceania,★
Brazil,2012,986454418,5403,23,89,South America,★★
Russia,2012,987964951,19953,21,87,Europe/Asia,★★★★
China,2012,990320636,1421,21,75,Asia,★
France,2012,996384578,24687,3,71,Europe,★★★★★
Australia,2012,997294289,17681,16,72,Oceania,★★★★
India,2012,999924658,14966,4,57,Asia,★★★
China,2012,1007352365,20220,5,53,Asia,★★★★★
China,2012,1008302422,7909,8,56,Asia,★★
Brazil,2012,1008694003,17559,21,56,South America,★★★★
Brazil,2012,1009914700,9141,24,74,South America,★★
UK,2012,1010734414,2919,8,55,Europe,★
Australia,2012,1013313079,20019,21,86,Oceania,★★★★★
Germany,2012,1019975796,6518,9,25,Europe,★★
India,2012,1021732525,8993,7,85,Asia,★★
Russia,2012,1026045719,5128,8,62,Europe/Asia,★★
France,2012,1028635996,10416,15,93,Europe,★★★
Australia,2012,1028688868,19361,20,24,Oceania,★★★★
Canada,2012,1029864326,11528,4,11,North America,★★★
Brazil,2012,1031251263,7865,13,48,South America,★★
Canada,2012,1033705827,17786,14,42,North America,★★★★
Canada,2012,1034018499,23006,12,92,North America,★★★★★
USA,2012,1036546862,2347,17,39,North America,★
Germany,2012,1041121359,12115,14,54,Europe,★★★
France,2012,1041158249,20193,13,78,Europe,★★★★★
Germany,2012,1043403336,5515,18,75,Europe,★★
Canada,2012,1052319789,22008,16,11,North America,★★★★★
Australia,2012,1059162569,1560,22,57,Oceania,★
Canada,2012,1062935346,10371,17,47,North America,★★★
Brazil,2012,1063155085,9499,15,54,South America,★★
Canada,2012,1065562609,13717,2,18,North America,★★★
France,2012,1066670747,15531,20,74,Europe,★★★★
Canada,2012,1069473286,13367,18,31,North America,★★★
Canada,2012,1070532604,14049,15,38,North America,★★★
USA,2012,1079421325,13266,3,22,North America,★★★
France,2012,1087279163,19682,15,90,Europe,★★★★
Australia,2012,1092690805,16089,8,74,Oceania,★★★★
China,2012,1099055222,9594,10,52,Asia,★★
UK,2012,1101600871,3219,20,30,Europe,★
Australia,2012,1113818326,7183,6,23,Oceania,★★
China,2012,1124072473,8199,21,43,Asia,★★
Germany,2012,1126684728,23428,15,38,Europe,★★★★★
France,2012,1126844298,1689,13,31,Europe,★
China,2012,1127776707,15429,12,69,Asia,★★★★
China,2012,1128083684,10595,12,43,Asia,★★★
UK,2012,1131225967,14298,21,83,Europe,★★★
Russia,2012,1131377130,19793,7,29,Europe/Asia,★★★★
Australia,2012,1132894538,18307,23,11,Oceania,★★★★
Brazil,2012,1142152658,19277,10,87,South America,★★★★
China,2012,1145157455,4782,7,55,Asia,★
Russia,2012,1156277502,17478,13,53,Europe/Asia,★★★★
Brazil,2012,1157387218,20537,15,14,South America,★★★★★
USA,2012,1159425713,12589,24,76,North America,★★★
USA,2012,1161166026,16993,13,55,North America,★★★★
India,2012,1162897226,21162,9,71,Asia,★★★★★
UK,2012,1173663095,14805,11,86,Europe,★★★
Germany,2012,1174897554,12988,16,54,Europe,★★★
France,2012,1175755977,11143,15,67,Europe,★★★
France,2012,1178746848,19695,18,34,Europe,★★★★
USA,2012,1180922712,3409,11,95,North America,★
Canada,2012,1185321178,1077,21,88,North America,★
France,2012,1185424057,6650,4,55,Europe,★★
China,2012,1195230937,23677,4,36,Asia,★★★★★
Brazil,2012,1201393287,15319,2,42,South America,★★★★
Canada,2012,1203908407,23645,11,46,North America,★★★★★
Russia,2012,1207617119,1806,18,65,Europe/Asia,★
Australia,2012,1208536525,4557,6,97,Oceania,★
Germany,2012,1210478898,929,14,89,Europe,★
Canada,2012,1213018659,21949,15,23,North America,★★★★★
UK,2012,1216139235,14935,9,22,Europe,★★★
France,2012,1217883372,17098,23,28,Europe,★★★★
UK,2012,1223674038,17988,13,13,Europe,★★★★
India,2012,1225062130,12434,11,80,Asia,★★★
Brazil,2012,1227176360,16204,23,48,South America,★★★★
Canada,2012,1230084007,1909,20,79,North America,★
Canada,2012,1231063948,24890,24,37,North America,★★★★★
Russia,2012,1232762698,13486,18,51,Europe/Asia,★★★
USA,2012,1232973303,3057,8,74,North America,★
France,2012,1235889839,1298,14,77,Europe,★
Canada,2012,1242459149,10718,6,89,North America,★★★
Australia,2012,1244262825,15740,13,50,Oceania,★★★★
Russia,2012,1244576623,17281,22,66,Europe/Asia,★★★★
Germany,2012,1245328969,12608,3,74,Europe,★★★
India,2012,1255027418,10680,21,96,Asia,★★★
Australia,2012,1256867743,17115,18,92,Oceania,★★★★
France,2012,1259905927,23240,7,25,Europe,★★★★★
Germany,2012,1260755877,999,21,14,Europe,★
UK,2012,1264766534,19182,4,72,Europe,★★★★
USA,2012,1278600262,6169,4,62,North America,★★
Canada,2012,1279034331,10075,6,61,North America,★★★
USA,2012,1289386596,24592,11,11,North America,★★★★★
India,2012,1291547495,5651,18,76,Asia,★★
Australia,2012,1291679086,13228,19,14,Oceania,★★★
China,2012,1293679969,10350,6,98,Asia,★★★
China,2012,1294011823,24332,23,22,Asia,★★★★★
Canada,2012,1295633660,23570,23,82,North America,★★★★★
Brazil,2012,1301658041,12994,4,56,South America,★★★
USA,2012,1303815535,6896,3,30,North America,★★
France,2012,1306864484,19541,20,10,Europe,★★★★
Brazil,2012,1310234634,456,8,15,South America,★
Brazil,2012,1311274970,324,19,79,South America,★
USA,2012,1315944158,2485,13,12,North America,★
USA,2012,1323262770,11243,6,57,North America,★★★
China,2012,1325376528,17878,24,37,Asia,★★★★
Canada,2012,1329466311,8575,10,53,North America,★★
China,2012,1333461457,4127,16,18,Asia,★
USA,2012,1342199825,7088,16,42,North America,★★
France,2012,1345639676,5894,17,15,Europe,★★
Germany,2012,1349653760,15412,20,50,Europe,★★★★
UK,2012,1350338773,16161,15,89,Europe,★★★★
Canada,2012,1350388075,8623,9,15,North America,★★
India,2012,1350596119,234,16,17,Asia,★
USA,2012,1352012530,6302,12,36,North America,★★
Russia,2012,1352868862,22740,23,18,Europe/Asia,★★★★★
Australia,2012,1354003816,7150,20,97,Oceania,★★
UK,2012,1357887502,14835,6,80,Europe,★★★
India,2012,1364649069,17658,24,75,Asia,★★★★
Russia,2012,1372384424,14531,18,16,Europe/Asia,★★★
Australia,2012,1372907471,10996,12,17,Oceania,★★★
UK,2012,1378224356,425,24,45,Europe,★
France,2012,1378929668,1106,3,31,Europe,★
Germany,2012,1381025994,23029,3,35,Europe,★★★★★
Germany,2012,1382567582,6120,22,27,Europe,★★
China,2012,1384733277,4020,2,17,Asia,★
Brazil,2012,1384765052,12343,23,19,South America,★★★
Australia,2012,1386676042,1765,13,85,Oceania,★
Russia,2012,1387141562,12037,10,10,Europe/Asia,★★★
Australia,2012,1388880913,23929,18,96,Oceania,★★★★★
Canada,2012,1395662770,822,12,16,North America,★
Australia,2012,1396994580,20762,11,56,Oceania,★★★★★
Australia,2013,5144458,20475,7,41,Oceania,★★★★★
Germany,2013,9152629,22937,9,36,Europe,★★★★★
Australia,2013,11602119,10193,18,31,Oceania,★★★
China,2013,18694482,23838,17,69,Asia,★★★★★
Germany,2013,19696830,19080,2,21,Europe,★★★★
Brazil,2013,22282104,4569,8,68,South America,★
Germany,2013,22307002,13772,12,94,Europe,★★★
USA,2013,25762389,3883,7,97,North America,★
Brazil,2013,26414769,16412,5,90,South America,★★★★
UK,2013,28872264,24553,21,64,Europe,★★★★★
Russia,2013,42971410,436,14,95,Europe/Asia,★
Russia,2013,50383402,6223,9,89,Europe/Asia,★★
Brazil,2013,54326698,3610,14,29,South America,★
Brazil,2013,55603979,6485,15,95,South America,★★
Canada,2013,56532600,11272,16,28,North America,★★★
China,2013,56943165,21143,6,77,Asia,★★★★★
USA,2013,57533676,16272,5,27,North America,★★★★
Brazil,2013,63829118,16272,15,15,South America,★★★★
India,2013,67437008,6462,2,61,Asia,★★
USA,2013,90197406,14616,12,34,North America,★★★
France,2013,96201198,456,20,91,Europe,★
India,2013,99588618,2910,6,27,Asia,★
Brazil,2013,100412405,9523,23,84,South America,★★
Germany,2013,101405941,14992,2,31,Europe,★★★
Germany,2013,110484699,18224,4,52,Europe,★★★★
Russia,2013,113892245,398,4,35,Europe/Asia,★
Australia,2013,116070398,10136,11,63,Oceania,★★★
UK,2013,118567387,22854,3,53,Europe,★★★★★
Australia,2013,120482515,16952,23,31,Oceania,★★★★
Australia,2013,124902922,2329,18,63,Oceania,★
Brazil,2013,129954843,15799,11,47,South America,★★★★
Russia,2013,133577620,21267,13,49,Europe/Asia,★★★★★
France,2013,138587914,7406,21,45,Europe,★★
Russia,2013,140244261,10640,17,70,Europe/Asia,★★★
USA,2013,141252317,2808,13,67,North America,★
UK,2013,152119883,23225,24,22,Europe,★★★★★
China,2013,153941642,15506,18,19,Asia,★★★★
UK,2013,154587168,20374,19,54,Europe,★★★★★
UK,2013,162596433,6918,6,52,Europe,★★
Germany,2013,167051201,20653,20,33,Europe,★★★★★
Russia,2013,175448176,3541,9,74,Europe/Asia,★
Australia,2013,185000789,11124,14,25,Oceania,★★★
Brazil,2013,185306797,16820,19,28,South America,★★★★
France,2013,185314259,24127,11,36,Europe,★★★★★
Brazil,2013,200550510,24626,22,63,South America,★★★★★
UK,2013,200573605,17494,3,43,Europe,★★★★
UK,2013,202583653,17435,23,81,Europe,★★★★
Russia,2013,211667673,743,13,58,Europe/Asia,★
France,2013,212936188,23708,16,27,Europe,★★★★★
Brazil,2013,214942195,23094,7,96,South America,★★★★★
China,2013,217307452,6623,24,18,Asia,★★
Germany,2013,219923375,12289,12,50,Europe,★★★
Russia,2013,227209663,11045,8,40,Europe/Asia,★★★
USA,2013,231174206,6036,16,54,North America,★★
USA,2013,232808216,22829,3,94,North America,★★★★★
Brazil,2013,232810702,8774,8,67,South America,★★
Germany,2013,245842417,8259,12,79,Europe,★★
USA,2013,251243314,21288,9,63,North America,★★★★★
Brazil,2013,251809867,10402,10,47,South America,★★★
India,2013,255001839,24562,8,29,Asia,★★★★★
China,2013,255902824,12658,21,55,Asia,★★★
Russia,2013,258716788,8478,23,70,Europe/Asia,★★
Brazil,2013,261489698,17157,16,94,South America,★★★★
France,2013,264176333,1547,9,49,Europe,★
Brazil,2013,264669645,23453,19,40,South America,★★★★★
Canada,2013,267394784,19300,20,33,North America,★★★★
India,2013,268864192,16060,21,91,Asia,★★★★
Russia,2013,269153213,16181,9,68,Europe/Asia,★★★★
Canada,2013,270387168,15858,14,97,North America,★★★★
Russia,2013,271879103,4505,6,49,Europe/Asia,★
France,2013,272546483,20454,15,72,Europe,★★★★★
France,2013,280131042,22851,17,98,Europe,★★★★★
Germany,2013,282421433,20812,18,97,Europe,★★★★★
UK,2013,282893505,13286,21,10,Europe,★★★
Brazil,2013,287751643,16297,3,36,South America,★★★★
China,2013,291031343,1807,2,15,Asia,★
USA,2013,291070795,17987,2,65,North America,★★★★
France,2013,294368166,9386,9,23,Europe,★★
France,2013,294582673,16260,9,19,Europe,★★★★
USA,2013,299465171,9698,19,45,North America,★★
France,2013,300085713,20645,14,81,Europe,★★★★★
UK,2013,300843208,15870,7,65,Europe,★★★★
Brazil,2013,318319030,12008,9,33,South America,★★★
USA,2013,320034308,23742,11,37,North America,★★★★★
India,2013,324146942,7295,7,67,Asia,★★
Russia,2013,325706348,21556,3,15,Europe/Asia,★★★★★
UK,2013,332581075,2624,17,21,Europe,★
Brazil,2013,333087913,14389,12,15,South America,★★★
UK,2013,336528983,12739,8,85,Europe,★★★
China,2013,336890735,19527,6,59,Asia,★★★★
Russia,2013,338020105,23252,19,46,Europe/Asia,★★★★★
India,2013,341864139,22243,14,22,Asia,★★★★★
USA,2013,344525735,15584,5,12,North America,★★★★
India,2013,354826862,7283,5,67,Asia,★★
Brazil,2013,360178074,7021,8,59,South America,★★
Russia,2013,364110857,21502,22,47,Europe/Asia,★★★★★
USA,2013,364121103,23161,5,81,North America,★★★★★
Canada,2013,367780290,12688,8,66,North America,★★★
USA,2013,367997626,1836,16,60,North America,★
Germany,2013,375066969,20681,4,53,Europe,★★★★★
Russia,2013,376035728,12078,12,22,Europe/Asia,★★★
China,2013,376207528,125,18,25,Asia,★
France,2013,377747141,9024,23,11,Europe,★★
France,2013,382140402,1800,24,61,Europe,★
Russia,2013,383839111,8038,16,86,Europe/Asia,★★
Brazil,2013,387378038,7954,23,39,South America,★★
Germany,2013,396482711,17022,20,67,Europe,★★★★
Australia,2013,398024385,1789,22,20,Oceania,★
Russia,2013,399796348,7309,12,96,Europe/Asia,★★
China,2013,403421178,23864,12,79,Asia,★★★★★
Brazil,2013,403985187,20418,24,84,South America,★★★★★
China,2013,404644256,24255,20,40,Asia,★★★★★
India,2013,408493643,24383,17,56,Asia,★★★★★
Brazil,2013,414160587,11618,8,16,South America,★★★
Australia,2013,417878191,391,5,95,Oceania,★
UK,2013,421973066,10027,21,11,Europe,★★★
Australia,2013,429929688,16281,20,73,Oceania,★★★★
France,2013,430257455,1756,24,69,Europe,★
Australia,2013,431464842,2633,21,86,Oceania,★
France,2013,433059545,7598,19,36,Europe,★★
China,2013,437669427,20711,11,82,Asia,★★★★★
Australia,2013,449229134,1097,5,38,Oceania,★
USA,2013,450359985,4889,3,59,North America,★
Germany,2013,450725137,6826,6,17,Europe,★★
UK,2013,451223613,8261,15,81,Europe,★★
India,2013,455129516,19050,16,67,Asia,★★★★
Germany,2013,455861706,10846,22,60,Europe,★★★
Australia,2013,456410225,18323,18,63,Oceania,★★★★
UK,2013,458939086,10236,17,73,Europe,★★★
Russia,2013,462586170,17307,5,96,Europe/Asia,★★★★
China,2013,464672553,7319,19,14,Asia,★★
Germany,2013,467642947,5155,11,53,Europe,★★
Brazil,2013,468552047,17770,5,23,South America,★★★★
China,2013,469880298,1289,6,79,Asia,★
UK,2013,474283188,14537,11,62,Europe,★★★
China,2013,476204033,13786,22,88,Asia,★★★
Germany,2013,492009563,7465,3,13,Europe,★★
France,2013,492025334,2821,13,54,Europe,★
Australia,2013,493450179,11517,20,75,Oceania,★★★
Russia,2013,493552162,1011,9,85,Europe/Asia,★
Russia,2013,495488964,9318,23,23,Europe/Asia,★★
France,2013,496321448,23617,13,97,Europe,★★★★★
China,2013,498512269,12981,9,93,Asia,★★★
India,2013,502248115,12395,6,16,Asia,★★★
France,2013,502450170,20354,16,53,Europe,★★★★★
Russia,2013,503095170,10534,11,93,Europe/Asia,★★★
UK,2013,503839864,8675,2,17,Europe,★★
Canada,2013,506251574,8617,14,96,North America,★★
China,2013,507945647,23425,19,87,Asia,★★★★★
Russia,2013,508024370,1157,7,97,Europe/Asia,★
Germany,2013,509160370,13166,23,34,Europe,★★★
Brazil,2013,511402691,20451,5,41,South America,★★★★★
Germany,2013,515159378,2886,22,73,Europe,★
Canada,2013,517962711,7639,6,69,North America,★★
China,2013,520379494,6110,24,81,Asia,★★
Canada,2013,522535210,6718,10,79,North America,★★
Germany,2013,523349595,2538,15,14,Europe,★
Canada,2013,528547574,17841,11,96,North America,★★★★
China,2013,529177363,24513,11,28,Asia,★★★★★
Brazil,2013,529586052,11958,2,12,South America,★★★
USA,2013,530230220,13517,7,49,North America,★★★
Australia,2013,538369821,5673,10,14,Oceania,★★
India,2013,546689557,23361,14,47,Asia,★★★★★
India,2013,549000221,21463,16,51,Asia,★★★★★
UK,2013,554026599,10428,16,49,Europe,★★★
France,2013,554548092,15188,2,31,Europe,★★★★
France,2013,555298144,21770,3,80,Europe,★★★★★
Russia,2013,557487742,11548,9,74,Europe/Asia,★★★
Canada,2013,558846257,11460,2,10,North America,★★★
Australia,2013,560048375,24826,12,55,Oceania,★★★★★
Canada,2013,561091714,4096,12,21,North America,★
Canada,2013,562582027,5666,20,54,North America,★★
India,2013,563880131,2393,3,23,Asia,★
Brazil,2013,567299987,16027,13,67,South America,★★★★
USA,2013,567461844,12138,24,52,North America,★★★
USA,2013,567753010,22296,2,84,North America,★★★★★
USA,2013,579355689,14654,19,59,North America,★★★
Brazil,2013,582377350,4315,3,26,South America,★
USA,2013,596372930,381,18,59,North America,★
UK,2013,599314119,5506,14,62,Europe,★★
Brazil,2013,601337488,4427,6,28,South America,★
Brazil,2013,602405741,3865,4,26,South America,★
Canada,2013,605335536,21015,18,91,North America,★★★★★
France,2013,606745035,19479,4,13,Europe,★★★★
India,2013,612430796,16297,23,89,Asia,★★★★
Germany,2013,616511910,5005,17,65,Europe,★★
China,2013,619336131,1487,7,43,Asia,★
USA,2013,621295975,604,3,48,North America,★
USA,2013,622173954,16135,10,84,North America,★★★★
USA,2013,623378742,8468,19,12,North America,★★
France,2013,629196445,6150,13,70,Europe,★★
Australia,2013,637418516,12714,8,58,Oceania,★★★
UK,2013,640061537,23058,13,43,Europe,★★★★★
Germany,2013,641763098,22904,18,48,Europe,★★★★★
India,2013,645348941,11641,4,76,Asia,★★★
Brazil,2013,645947470,10525,3,86,South America,★★★
Brazil,2013,646010126,18241,7,80,South America,★★★★
USA,2013,650525839,12215,3,16,North America,★★★
Germany,2013,651259595,22681,4,61,Europe,★★★★★
Australia,2013,654936743,5473,20,19,Oceania,★★
China,2013,660458519,5630,18,15,Asia,★★
Germany,2013,663963399,20450,15,57,Europe,★★★★★
USA,2013,664882335,630,17,10,North America,★
USA,2013,669927997,11619,12,50,North America,★★★
Russia,2013,670303588,6175,24,54,Europe/Asia,★★
UK,2013,683588621,17539,11,46,Europe,★★★★
Canada,2013,689766355,18613,17,39,North America,★★★★
France,2013,689988795,23206,19,58,Europe,★★★★★
USA,2013,712089874,15674,6,18,North America,★★★★
Brazil,2013,715820343,24249,16,33,South America,★★★★★
France,2013,724809957,2862,22,26,Europe,★
France,2013,728078731,19301,19,70,Europe,★★★★
India,2013,728251404,12163,20,21,Asia,★★★
India,2013,730926174,18480,8,73,Asia,★★★★
Brazil,2013,735843410,5529,17,16,South America,★★
Australia,2013,737375672,23056,10,79,Oceania,★★★★★
China,2013,747029962,3965,17,89,Asia,★
UK,2013,747526059,5153,10,90,Europe,★★
Brazil,2013,748540449,13171,15,94,South America,★★★
Russia,2013,751794179,17150,21,51,Europe/Asia,★★★★
Germany,2013,752753050,15928,14,86,Europe,★★★★
India,2013,766763724,3044,8,75,Asia,★
USA,2013,768838316,6743,4,77,North America,★★
Canada,2013,770347749,17171,6,13,North America,★★★★
USA,2013,772701973,21391,15,67,North America,★★★★★
Russia,2013,772812152,20546,19,49,Europe/Asia,★★★★★
China,2013,777848081,6287,16,78,Asia,★★
Brazil,2013,778526708,13828,11,93,South America,★★★
Russia,2013,778859380,23882,5,19,Europe/Asia,★★★★★
Germany,2013,779050822,8744,10,38,Europe,★★
France,2013,784029763,21909,7,34,Europe,★★★★★
China,2013,785440559,17235,11,90,Asia,★★★★
UK,2013,788811218,10544,22,35,Europe,★★★
India,2013,789820314,12291,3,73,Asia,★★★
Brazil,2013,790671517,12441,10,10,South America,★★★
China,2013,790896241,12314,4,80,Asia,★★★
France,2013,793132360,10465,2,26,Europe,★★★
Russia,2013,793135895,5466,18,35,Europe/Asia,★★
Australia,2013,794559571,14691,17,60,Oceania,★★★
China,2013,796261294,12829,16,38,Asia,★★★
China,2013,796310629,21320,2,27,Asia,★★★★★
Russia,2013,797024021,22154,11,16,Europe/Asia,★★★★★
Russia,2013,798829060,16501,14,14,Europe/Asia,★★★★
Germany,2013,802698072,23456,6,82,Europe,★★★★★
Brazil,2013,802878940,3883,14,95,South America,★
Russia,2013,803164248,6923,20,81,Europe/Asia,★★
Australia,2013,806499256,24202,8,92,Oceania,★★★★★
China,2013,810211960,8354,24,48,Asia,★★
Brazil,2013,814517091,17014,10,86,South America,★★★★
USA,2013,815530375,9687,22,75,North America,★★
Germany,2013,841031913,9945,5,47,Europe,★★
UK,2013,842628133,14140,2,52,Europe,★★★
Brazil,2013,844427871,3709,12,16,South America,★
USA,2013,845005263,13346,15,19,North America,★★★
Canada,2013,853935927,16608,24,26,North America,★★★★
Canada,2013,854046257,11732,19,65,North America,★★★
Canada,2013,859819146,5096,19,35,North America,★★
UK,2013,861540932,13614,9,79,Europe,★★★
Australia,2013,863899212,22803,11,59,Oceania,★★★★★
France,2013,864211151,13552,8,43,Europe,★★★
Australia,2013,867107495,11982,11,74,Oceania,★★★
Russia,2013,868859391,20168,3,15,Europe/Asia,★★★★★
India,2013,868945510,7881,9,42,Asia,★★
India,2013,872219987,795,18,95,Asia,★
Australia,2013,875004815,14578,18,97,Oceania,★★★
India,2013,875255453,10552,20,63,Asia,★★★
UK,2013,875898948,12089,7,12,Europe,★★★
Germany,2013,880541829,11417,15,87,Europe,★★★
UK,2013,883048337,7892,9,41,Europe,★★
Brazil,2013,887003709,18404,15,16,South America,★★★★
France,2013,894497489,12434,5,68,Europe,★★★
Australia,2013,895782794,4797,8,82,Oceania,★
Russia,2013,900271361,13866,22,64,Europe/Asia,★★★
Germany,2013,901086479,8073,23,24,Europe,★★
USA,2013,908332134,22216,2,39,North America,★★★★★
Australia,2013,912913843,2310,24,91,Oceania,★
UK,2013,915651153,14441,17,30,Europe,★★★
Russia,2013,917038034,5772,21,95,Europe/Asia,★★
India,2013,920486571,20441,7,24,Asia,★★★★★
Germany,2013,924977295,22789,11,49,Europe,★★★★★
Germany,2013,925125491,5023,6,27,Europe,★★
France,2013,926570408,22721,19,11,Europe,★★★★★
Germany,2013,929508953,1560,23,97,Europe,★
Brazil,2013,932207841,2356,21,82,South America,★
Australia,2013,938342337,20991,15,22,Oceania,★★★★★
France,2013,941033002,17025,22,94,Europe,★★★★
China,2013,951279131,12013,15,70,Asia,★★★
China,2013,958151398,22679,7,40,Asia,★★★★★
Australia,2013,961753109,15162,5,73,Oceania,★★★★
India,2013,965050184,21474,2,73,Asia,★★★★★
Australia,2013,968228321,7903,14,90,Oceania,★★
China,2013,973662158,19906,13,56,Asia,★★★★
India,2013,980574411,208,11,35,Asia,★
India,2013,992961234,11781,16,94,Asia,★★★
China,2013,993093939,4015,24,68,Asia,★
USA,2013,994272593,22319,5,16,North America,★★★★★
UK,2013,1001061382,18160,4,87,Europe,★★★★
France,2013,1006007207,14265,14,70,Europe,★★★
Brazil,2013,1010985490,24522,22,77,South America,★★★★★
Canada,2013,1018542679,16880,19,77,North America,★★★★
Australia,2013,1020954633,4506,18,44,Oceania,★
Australia,2013,1023726499,10058,10,27,Oceania,★★★
Canada,2013,1025028030,4763,23,15,North America,★
UK,2013,1026118974,6609,21,50,Europe,★★
USA,2013,1029493388,24160,6,74,North America,★★★★★
UK,2013,1034344197,20993,3,89,Europe,★★★★★
Canada,2013,1034852006,1463,14,23,North America,★
UK,2013,1037976684,14966,3,76,Europe,★★★
Germany,2013,1039606769,2692,20,20,Europe,★
Australia,2013,1039822191,14704,10,68,Oceania,★★★
Russia,2013,1040179817,2607,17,68,Europe/Asia,★
USA,2013,1053117531,17310,10,47,North America,★★★★
India,2013,1054122705,19006,7,68,Asia,★★★★
India,2013,1056161980,10025,24,54,Asia,★★★
Canada,2013,1056719539,21757,8,32,North America,★★★★★
France,2013,1064126019,15850,13,29,Europe,★★★★
UK,2013,1064270991,6761,20,23,Europe,★★
France,2013,1065018726,18314,8,10,Europe,★★★★
France,2013,1069214604,1127,4,77,Europe,★
India,2013,1071886445,21918,7,90,Asia,★★★★★
USA,2013,1077307468,1850,2,63,North America,★
Russia,2013,1079314610,6306,21,71,Europe/Asia,★★
France,2013,1081215880,9979,8,69,Europe,★★
France,2013,1087762191,15381,7,76,Europe,★★★★
India,2013,1091777369,3665,2,82,Asia,★
Canada,2013,1093445519,12878,9,16,North America,★★★
USA,2013,1094401259,3505,9,97,North America,★
Russia,2013,1100971437,3605,13,29,Europe/Asia,★
Russia,2013,1108299724,23909,7,70,Europe/Asia,★★★★★
Australia,2013,1108352938,20990,2,49,Oceania,★★★★★
France,2013,1111355300,7367,15,63,Europe,★★
Germany,2013,1114969352,22422,4,70,Europe,★★★★★
China,2013,1124679285,946,10,32,Asia,★
USA,2013,1133510295,20387,24,97,North America,★★★★★
India,2013,1142336367,2456,7,77,Asia,★
Canada,2013,1148683776,14352,4,77,North America,★★★
Germany,2013,1153236445,12101,12,59,Europe,★★★
Australia,2013,1155778257,17752,19,71,Oceania,★★★★
France,2013,1155973469,18583,11,22,Europe,★★★★
Brazil,2013,1171387037,17532,21,62,South America,★★★★
China,2013,1175702954,7145,11,92,Asia,★★
China,2013,1177835291,17585,12,18,Asia,★★★★
China,2013,1178086048,20102,14,39,Asia,★★★★★
China,2013,1179110038,11184,11,10,Asia,★★★
UK,2013,1180891859,1142,23,85,Europe,★
Germany,2013,1187989209,600,5,34,Europe,★
Canada,2013,1193201662,20059,6,63,North America,★★★★★
Australia,2013,1204478052,17010,13,74,Oceania,★★★★
Russia,2013,1206582178,9902,3,77,Europe/Asia,★★
UK,2013,1208071021,15854,15,91,Europe,★★★★
China,2013,1212001817,8224,5,20,Asia,★★
Canada,2013,1215028004,20223,14,13,North America,★★★★★
India,2013,1219065723,7703,17,59,Asia,★★
China,2013,1219084711,4638,4,79,Asia,★
Canada,2013,1221157528,19424,16,47,North America,★★★★
USA,2013,1222247779,9286,10,38,North America,★★
Australia,2013,1224172277,3779,13,33,Oceania,★
Australia,2013,1225905048,2204,22,86,Oceania,★
UK,2013,1227757781,17219,19,26,Europe,★★★★
France,2013,1229841769,7857,15,19,Europe,★★
Canada,2013,1229856485,13560,15,95,North America,★★★
Brazil,2013,1231265037,3563,7,50,South America,★
Canada,2013,1234275241,13220,21,74,North America,★★★
China,2013,1234704600,11501,4,21,Asia,★★★
Australia,2013,1241169599,12156,5,55,Oceania,★★★
France,2013,1242863813,7235,4,12,Europe,★★
Germany,2013,1243869495,22865,10,41,Europe,★★★★★
France,2013,1254035939,4385,11,14,Europe,★
Brazil,2013,1259690519,24853,22,30,South America,★★★★★
UK,2013,1262870102,17023,14,74,Europe,★★★★
Australia,2013,1270743913,8090,17,13,Oceania,★★
